DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,1,2
2000,1,2,2
3000,3,3,5
4000,4,3,7
5000,5,5,6
6000,9,8,7
7000,12,8,7
8000,15,16,18
9000,21,19,10
10000,22,15,13
11000,35,26,17
12000,43,25,17
13000,49,27,17
14000,51,30,22
15000,74,37,19
16000,81,36,18
17000,89,38,28
18000,138,43,18
19000,157,67,22
20000,141,63,19
21000,190,68,30
22000,247,78,42
23000,231,82,36
24000,235,109,37
25000,251,137,37
26000,381,122,38
27000,357,107,43
28000,424,149,43
29000,415,148,45
30000,432,207,48
31000,397,210,43
32000,424,184,41
33000,488,181,42
34000,477,180,39
35000,514,210,51
36000,567,216,48
37000,611,233,48
38000,661,266,51
39000,630,246,53
40000,718,293,67
41000,1010,321,79
42000,1133,398,67
43000,1131,393,92
44000,1449,453,72
45000,1366,448,84
46000,1268,533,86
47000,1254,451,87
48000,1474,540,88
49000,1565,564,83
50000,1652,502,85
51000,1906,433,119
52000,1925,518,95
53000,1876,550,82
54000,1956,528,87
55000,2167,676,105
56000,2391,693,82
57000,2548,648,94
58000,2483,670,105
59000,2977,738,101
60000,2903,854,98
61000,3303,728,89
62000,2862,853,96
63000,2963,789,99
64000,3314,780,88
65000,3876,812,97
66000,3678,869,98
67000,3687,1011,88
68000,3876,943,102
69000,4313,937,93
70000,4310,1134,98
71000,4596,1118,103
72000,5046,1214,101
73000,4749,1187,88
74000,5883,1071,87
75000,5220,1201,119
76000,5318,1194,106
77000,5120,1213,122
78000,5913,1216,263
79000,6505,1359,125
