InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,1
900,0,1
1000,0,1
1100,1,1
1200,1,1
1300,1,2
1400,1,2
1500,1,2
1600,1,3
1700,1,3
1800,2,4
1900,2,4
2000,2,4
2100,2,5
2200,2,5
2300,3,6
2400,2,6
2500,3,7
2600,3,8
2700,5,8
2800,4,15
2900,5,10
3000,5,11
3100,6,11
3200,5,12
3300,5,12
3400,6,14
3500,6,15
3600,8,18
3700,8,19
3800,12,20
3900,9,17
4000,9,17
4100,8,22
4200,11,20
4300,9,19
4400,9,24
4500,11,26
4600,10,26
4700,12,26
4800,11,29
4900,11,33
5000,17,32
5100,13,35
5200,14,38
5300,13,36
5400,15,38
5500,18,40
5600,16,43
5700,25,45
5800,25,44
5900,18,45
6000,36,49
6100,29,47
6200,22,47
6300,21,53
6400,19,49
6500,22,51
6600,22,59
6700,25,58
6800,26,58
6900,29,64
7000,24,68
7100,30,66
7200,26,67
7300,30,72
7400,26,73
7500,33,70
7600,34,82
7700,29,81
7800,42,81
7900,29,85
8000,31,85
8100,29,87
8200,36,89
8300,39,98
8400,38,101
8500,46,99
8600,51,97
8700,62,111
8800,40,107
8900,51,115
9000,53,108
9100,46,128
9200,49,118
9300,47,123
9400,51,123
9500,53,124
9600,57,132
9700,54,145
9800,69,132
9900,55,161
10000,56,158
10100,59,141
10200,72,159
10300,60,154
10400,63,167
10500,64,169
10600,55,173
10700,73,170
10800,74,184
10900,72,184
11000,92,193
11100,80,190
11200,78,178
11300,76,186
11400,75,179
11500,81,185
11600,84,199
11700,90,262
11800,81,259
11900,96,242
12000,90,207
12100,90,232
12200,90,254
12300,91,253
12400,95,249
12500,91,225
12600,112,271
12700,123,226
12800,134,305
12900,128,246
13000,153,231
13100,95,275
13200,122,304
13300,127,321
13400,125,290
13500,121,273
13600,156,284
13700,116,295
13800,140,315
13900,139,319
14000,135,270
14100,152,310
14200,144,328
14300,160,310
14400,155,323
14500,151,298
14600,191,318
14700,137,318
14800,159,284
14900,147,315
15000,153,298
15100,147,354
15200,170,313
15300,157,355
15400,173,342
15500,179,333
15600,171,358
15700,166,341
15800,185,342
15900,175,330
16000,176,419
16100,181,417
16200,176,361
16300,165,419
16400,189,398
16500,169,429
16600,175,421
16700,220,467
16800,221,424
16900,258,421
17000,223,457
17100,259,487
17200,199,462
17300,244,470
17400,241,525
17500,229,483
17600,244,442
17700,255,597
17800,283,485
17900,281,533
18000,266,564
18100,230,511
18200,257,565
18300,237,533
18400,259,539
18500,246,509
18600,277,469
18700,302,472
18800,283,495
18900,283,515
19000,264,512
19100,247,544
19200,250,538
19300,265,523
19400,266,537
19500,240,591
19600,282,588
19700,253,543
19800,272,525
19900,278,469
