InputIndices,TestResults
0,0
100,0
200,0
300,0
400,1
500,1
600,1
700,2
800,2
900,3
1000,3
1100,4
1200,5
1300,4
1400,4
1500,5
1600,5
1700,6
1800,6
1900,6
2000,6
2100,7
2200,8
2300,8
2400,8
2500,8
2600,8
2700,9
2800,10
2900,11
3000,11
3100,10
3200,11
3300,11
3400,12
3500,12
3600,13
3700,11
3800,14
3900,15
4000,13
4100,14
4200,14
4300,15
4400,18
4500,15
4600,15
4700,15
4800,21
4900,24
5000,18
5100,17
5200,18
5300,17
5400,22
5500,20
5600,21
5700,18
5800,22
5900,17
6000,19
6100,17
6200,23
6300,19
6400,22
6500,28
6600,20
6700,21
6800,22
6900,21
7000,22
7100,22
7200,22
7300,20
7400,27
7500,24
7600,24
7700,23
7800,27
7900,27
8000,26
8100,22
8200,25
8300,24
8400,27
8500,25
8600,29
8700,32
8800,28
8900,30
9000,38
9100,38
9200,36
9300,31
9400,32
9500,32
9600,31
9700,34
9800,35
9900,38
10000,38
10100,36
10200,32
10300,31
10400,33
10500,29
10600,35
10700,37
10800,38
10900,32
11000,29
11100,30
11200,28
11300,29
11400,26
11500,32
11600,29
11700,28
11800,28
11900,28
12000,28
12100,31
12200,31
12300,29
12400,38
12500,36
12600,30
12700,27
12800,30
12900,32
13000,27
13100,26
13200,25
13300,36
13400,36
13500,32
13600,29
13700,21
13800,22
13900,23
14000,20
14100,18
14200,16
14300,21
14400,18
14500,18
14600,15
14700,16
14800,15
14900,15
15000,15
15100,17
15200,15
15300,16
15400,14
15500,14
15600,15
15700,13
15800,13
15900,11
16000,12
16100,9
16200,9
16300,10
16400,9
16500,11
16600,13
16700,10
16800,9
16900,9
17000,8
17100,8
17200,8
17300,7
17400,7
17500,8
17600,7
17700,7
17800,7
17900,6
18000,5
18100,5
18200,5
18300,5
18400,4
18500,3
18600,4
18700,3
18800,3
18900,2
19000,2
19100,2
19200,2
19300,2
19400,1
19500,1
19600,1
19700,1
19800,0
19900,0
