InputListSize,ResultsTest1,ResultsTest2
0,24,48
100,4824,5840
200,9624,10640
300,14424,17384
400,19224,22184
500,24024,26984
600,28824,31784
700,33624,36584
800,38424,47216
900,43224,52016
1000,48024,56816
1100,52824,61616
1200,57624,66416
1300,62424,71216
1400,67224,76016
1500,72024,80816
1600,76824,85616
1700,81624,90416
1800,86424,95216
1900,91224,100016
2000,96024,104816
2100,100824,109616
2200,105624,131912
2300,110424,136712
2400,115224,141512
2500,120024,146312
2600,124824,151112
2700,129624,155912
2800,134424,160712
2900,139224,165512
3000,144024,170312
3100,148824,175112
3200,153624,179912
3300,158424,184712
3400,163224,189512
3500,168024,194312
3600,172824,199112
3700,177624,203912
3800,182424,208712
3900,187224,213512
4000,192024,218312
4100,196824,223112
4200,201624,227912
4300,206424,232712
4400,211224,237512
4500,216024,242312
4600,220824,247112
4700,225624,251912
4800,230424,256712
4900,235224,261512
5000,240024,266312
5100,244824,271112
5200,249624,275912
5300,254424,280712
5400,259224,285512
5500,264024,290312
5600,268824,295112
5700,273624,299912
5800,278424,304712
5900,283224,309512
6000,288024,314312
6100,292824,319112
6200,297624,323912
6300,302424,328712
6400,307224,333512
6500,312024,338312
6600,316824,395600
6700,321624,400400
6800,326424,405200
6900,331224,410000
7000,336024,414800
7100,340824,419600
7200,345624,424400
7300,350424,429200
7400,355224,434000
7500,360024,438800
7600,364824,443600
7700,369624,448400
7800,374424,453200
7900,379224,458000
8000,384024,462800
8100,388824,467600
8200,393624,472400
8300,398424,477200
8400,403224,482000
8500,408024,486800
8600,412824,491600
8700,417624,496400
8800,422424,501200
8900,427224,506000
9000,432024,510800
9100,436824,515600
9200,441624,520400
9300,446424,525200
9400,451224,530000
9500,456024,534800
9600,460824,539600
9700,465624,544400
9800,470424,549200
9900,475224,554000
10000,480024,558800
10100,484824,563600
10200,489624,568400
10300,494424,573200
10400,499224,578000
10500,504024,582800
10600,508824,587600
10700,513624,592400
10800,518424,597200
10900,523224,602000
11000,528024,606800
11100,532824,611600
11200,537624,616400
11300,542424,621200
11400,547224,626000
11500,552024,630800
11600,556824,635600
11700,561624,640400
11800,566424,645200
11900,571224,650000
12000,576024,654800
12100,580824,659600
12200,585624,664400
12300,590424,669200
12400,595224,674000
12500,600024,678800
12600,604824,683600
12700,609624,688400
12800,614424,693200
12900,619224,698000
13000,624024,702800
13100,628824,707600
13200,633624,712400
13300,638424,717200
13400,643224,722000
13500,648024,726800
13600,652824,731600
13700,657624,736400
13800,662424,741200
13900,667224,746000
14000,672024,750800
14100,676824,755600
14200,681624,760400
14300,686424,765200
14400,691224,770000
14500,696024,774800
14600,700824,779600
14700,705624,784400
14800,710424,789200
14900,715224,794000
15000,720024,798800
15100,724824,803600
15200,729624,808400
15300,734424,813200
15400,739224,818000
15500,744024,822800
15600,748824,827600
15700,753624,832400
15800,758424,837200
15900,763224,842000
16000,768024,846800
16100,772824,851600
16200,777624,856400
16300,782424,861200
16400,787224,866000
16500,792024,870800
16600,796824,875600
16700,801624,880400
16800,806424,885200
16900,811224,890000
17000,816024,894800
17100,820824,899600
17200,825624,904400
17300,830424,909200
17400,835224,914000
17500,840024,918800
17600,844824,923600
17700,849624,928400
17800,854424,933200
17900,859224,938000
18000,864024,942800
18100,868824,947600
18200,873624,952400
18300,878424,957200
18400,883224,962000
18500,888024,966800
18600,892824,971600
18700,897624,976400
18800,902424,981200
18900,907224,986000
19000,912024,990800
19100,916824,995600
19200,921624,1000400
19300,926424,1005200
19400,931224,1010000
19500,936024,1014800
19600,940824,1019600
19700,945624,1181864
19800,950424,1186664
19900,955224,1191464
